"State","MSN","2021"
"NJ","ESICP",6593.00
"NJ","ESICV",620.90
"NJ","ESRCB",102668.00
"NJ","ESRCD",47.93
"NJ","ESRCP",30090.00
"NJ","ESRCV",4921.10
"NJ","ESTCB",249316.00
"NJ","ESTCD",41.16
"NJ","ESTCP",73070.00
"NJ","ESTCV",10150.40
"NM","ESACB",0.00
"NM","ESACD",0.00
"NM","ESACP",0.00
"NM","ESACV",0.00
"NM","ESCCB",29534.00
"NM","ESCCD",31.66
"NM","ESCCP",8656.00
"NM","ESCCV",935.00
"NM","ESICB",32924.00
"NM","ESICD",18.05
"NM","ESICP",9650.00
"NM","ESICV",577.20
"NM","ESRCB",24185.00
"NM","ESRCD",39.61
"NM","ESRCP",7088.00
"NM","ESRCV",958.10
"NM","ESTCB",86643.00
"NM","ESTCD",28.82
"NM","ESTCP",25394.00
"NM","ESTCV",2470.30
"NV","ESACB",18.00
"NV","ESACD",22.63
"NV","ESACP",5.00
"NV","ESACV",0.40
"NV","ESCCB",41946.00
"NV","ESCCD",22.76
"NV","ESCCP",12294.00
"NV","ESCCV",954.70
"NV","ESICB",42171.00
"NV","ESICD",17.64
"NV","ESICP",12360.00
"NV","ESICV",743.80
"NV","ESRCB",49042.00
"NV","ESRCD",33.68
"NV","ESRCP",14373.00
"NV","ESRCV",1651.80
"NV","ESTCB",133177.00
"NV","ESTCD",25.16
"NV","ESTCP",39032.00
"NV","ESTCV",3350.80
"NY","ESACB",8377.00
"NY","ESACD",37.13
"NY","ESACP",2455.00
"NY","ESACV",311.10
"NY","ESCCB",238569.00
"NY","ESCCD",47.11
"NY","ESCCP",69920.00
"NY","ESCCV",11238.30
"NY","ESICB",57633.00
"NY","ESICD",18.59
"NY","ESICP",16891.00
"NY","ESICV",1071.60
"NY","ESRCB",177959.00
"NY","ESRCD",57.10
"NY","ESRCP",52157.00
"NY","ESRCV",10161.80
"NY","ESTCB",482538.00
"NY","ESTCD",47.21
"NY","ESTCP",141424.00
"NY","ESTCV",22782.80
"OH","ESACB",126.00
"OH","ESACD",21.71
"OH","ESACP",37.00
"OH","ESACV",2.70
"OH","ESCCB",153473.00
"OH","ESCCD",28.57
"OH","ESCCP",44980.00
"OH","ESCCV",4385.40
"OH","ESICB",168994.00
"OH","ESICD",19.21
"OH","ESICP",49529.00
"OH","ESICV",3123.00
"OH","ESRCB",181420.00
"OH","ESRCD",37.42
"OH","ESRCP",53171.00
"OH","ESRCV",6789.20
"OH","ESTCB",504013.00
"OH","ESTCD",28.74
"OH","ESTCP",147718.00
"OH","ESTCV",14300.40
"OK","ESACB",0.00
"OK","ESACD",0.00
"OK","ESACP",0.00
"OK","ESACV",0.00
"OK","ESCCB",68238.00
"OK","ESCCD",25.49
"OK","ESCCP",19999.00
"OK","ESCCV",1739.50
"OK","ESICB",70901.00
"OK","ESICD",16.13
"OK","ESICP",20780.00
"OK","ESICV",1059.90
"OK","ESRCB",81021.00
"OK","ESRCD",32.24
"OK","ESRCP",23746.00
"OK","ESRCV",2612.40
