country,fh9800,fh90s,pol6670,pol70s,pol80s,pol90s,gdp90lgn,loggdp60s,loggdp70s,loggdp80s,muslimfish,islam,arab,catholic,opec,fuelavg,neighbors,polcomp7090,polcomp60s,polcomp70s,fatmids90s,fatmids60s,fatmids70s,fatmids80s,snew125fish,ltdf90pfish,wgvtnewfish,parl99,parl00,edrat97,edrat99,lifexp97,lifexp00,ecactr97,ecactr00,wommin00,litgap00,educgen,gini,urban
Libr,3.1666667,2.25,-6,-6.0999999,-5.6999998,0,2.220108,6.7097831,6.799819,6.3842893,0,0.2,0,0.018999999,0,2.01162E-05,-3.8,1.8,2,1.9,1,0,0,0,102.52,32,7,11,11,0.57095408,0.57095408,1.0520607,1.0495222,67.469879,67.469879,7,32,13.618194,0.44,43.137798
Liby,1,1,-7,-7,-7,-7,3.8097618,,,,1,0.99000001,1,0.002,1,0.25745174,-3.0899999,1,1.8,1,0,0,1,0,103.89,32,5,0,0,1,1,1.057101,1.0581396,30.200001,33,12.5,6.8000002,92,0.36000001,86.400002
Lith,6.5,6.1999998,,,,10,3.5039268,,,8.008112,0,0,0,0.88,0,0.050677113,7.6199999,1.1428572,,,0,0,0,0,88.809998,0,10,17.5,10.6,1.0547945,1.0779221,1.1757387,1.1556886,82.599998,80,18.9,0.5,80,0.31,73.099998
Mac,4.8333335,4.6700001,,,,8.1300001,2.9138138,,,7.9160948,0,0.30000001,0,0,0,0.004566422,4.1799998,1.1428572,,,0,0,0,0,101.69,0,19,7.5,6.6999998,1,1,1.0620593,1.0605633,71,72,10.9,0,70,0.31,60.700001
Mad,5,4.7999997,-1,-4.5999999,-6,8.71,2.4409091,5.9313059,5.8898587,5.6359663,0,0.090000004,0,0.25999999,0,0.003231567,8.6000004,2.6666667,3,3.3,0,0,0,0,99.879997,16,14,8,8,1,0.93478262,1.0535715,1.0446602,80.5,78,12.5,21.299999,44,0.44,27.6
Malaw,5.1666665,4.2999997,-9,-9,-9,1.75,2.1818435,4.7161627,5.0145321,4.9870224,0,0.15000001,0,0.27599999,0,9.65817E-05,1.03,1,1,1,0,0,0,0,98.120003,33,4,5.6999998,9.3000002,0.88607597,0.88461536,1.0179949,0.99004978,93.599998,90,11.8,15.5,73,0.44,14.2
Malay,3,3.3499999,6.4000001,4,4,4.5,3.5002365,7.0797949,7.5166516,7.8883867,1,0.52999997,0,0.028000001,0,0.075294122,2.5,6,9.1999998,6,0,3,0,0,100.85,12,14,10.3,10.4,1.03125,1.046875,1.062947,1.0699002,60.599998,61,6.0999999,7.5999999,66,0.46000001,55.099998
Mali,5.1666665,5.0999999,-7,-7,-7,6.71,2.3961995,5.5210338,5.6509881,5.5631437,1,0.89999998,0,0.007,0,6.18E-06,-2.48,1,1,1,0,0,2,2,94.800003,14,16,12.2,12.2,0.64516127,0.64705884,1.05,1.0396825,83.599998,79,33.299999,35.599998,28,0.47999999,28.1
Mauritan,2.5,1.9000001,-7,-7,-7,-6.1300001,2.641474,6.0387588,6.1991634,6.129611,1,1,0,0.003,0,0.00138836,-1.11,1,1,1,0,0,0,2,97.099998,21,6,2.2,3.8,0.80000001,0.84090906,1.0616571,1.0641283,76.599998,74,13.6,28.9,40,0.37,54
Mauritius,6.5,6.4499998,9,9,9.8999996,10,3.4705575,,7.464891,7.707612,0,0.16599999,0,0.31200001,0,0.001614201,8.1999998,9.4285717,9,9,0,0,0,0,97.360001,10,9,7.5999999,5.6999998,1.016129,1.032258,1.1060383,1.1139053,46.900002,48,9.1000004,11.7,63,0.44,40.700001
Mex,4.8333335,4.4000001,-6,-4.8000002,-2.0999999,3,3.6070259,7.5975385,7.9072762,8.0677872,0,0,0,0.94700003,0,0.025380898,2.8299999,4.8095236,2,3.5999999,0,0,0,0,96.949997,5,7,16.9,16,0.97183096,0.98591548,1.0863309,1.0857143,47,47,11.1,6.5,71,0.50999999,73.800003
Mol,5,4.1500001,,,,5.75,3.2494431,,7.3022156,7.4274025,0,0,0,0,0,0.00045894,6.5,1.1428572,,,0,0,0,0,91.32,3,11,8.8999996,12.9,1.0289855,1.0714285,1.1259843,1.1194267,86.400002,84,0,0.69999999,72,0.33000001,53.099998
Mon,5.5,5.5,-7,-7,-6.0999999,6.8800001,2.6972294,,,6.1219707,0,0,0,0,0,0.000907715,-1.25,1.0952381,1,1,0,0,0,0,100.15,24,2,7.9000001,10.5,1.244898,1.254902,1.0450311,1.0656815,88.5,88,10,10.7,58,0.31999999,61.900002
Mor,3.5,3.0999999,-9,-8.6000004,-8,-4,3.1172712,6.6180058,6.8967509,7.0822334,1,0.99000001,1,0.002,0,0.004448286,2.48,2,3.8,2,0,2,0,1,99.889999,28,6,0.69999999,0.60000002,0.76363635,0.79310346,1.0570987,1.056231,53.099998,52,4.9000001,21.9,52,0.38,53.299999
Moz,4.5,3.9000001,,-8,-7.5,1.5,2.1583624,,5.0764904,4.8647637,0,0.1,0,0.31400001,0,0.005204257,-0.60000002,1,,1,0,0,0,1,94.610001,31,13,25.200001,30,0.68965518,0.73076922,1.0615034,1.046875,91.599998,92,4,19.299999,23,0.38,36.5
Mya,1,1,-7,-6.5,-7.5,-9,2.863323,,,,0,0.039999999,0,0.009,0,2.50411E-05,1.72,1.0952381,1.7,1,2,0,0,2,100.78,13,0,0,0,0.9818182,1,1.0564103,1.0893855,76.300003,75,0,10.5,55,0.34,26.5
Nam,5.5,5.5499997,,,6,8,3.2895889,,7.811708,7.6943674,0,0,0,0.191,0,0,4.5,9,,,0,0,0,0,97.800003,5,15,17.299999,25,1.05,1.0389611,1.0231661,1.0022422,68.099998,67,16.299999,16.799999,78,0.44,38
Nep,4.5,4.6999998,-9,-9,-1.3,8,2.2600713,4.971797,4.9964209,5.1343942,0,0.037999999,0,0,0,1.42E-06,0.80000001,1.6190476,1,1,0,0,0,0,104.09,33,1,4.5,5.9000001,0.71014494,0.77611941,0.99131942,0.99149662,69.599998,66,14.8,16,60,0.34999999,10.9
Neth,7,7,10,10,10,10,4.380374,9.5678663,9.8856983,10.012093,0,0.039999999,0,0.426,0,0.039905876,10,10,10,10,0,2,0,0,98.43,0,13,31.6,36,0.97000003,1,1.076,1.0716181,65.5,66,31,0,100,0.31,89.099998
Nic,5.1666665,4.5999999,-8,-6.4000001,-1.5,7,2.6627579,6.717905,6.7948551,6.3527632,0,0,0,0.94700003,0,0.002125681,7.75,3.5263157,2,1.6,0,1,1,2,97.410004,-2,11,10.8,20.700001,1.0655738,1.0655738,1.0729483,1.0707831,53.200001,56,23.1,33.200001,63,0.47999999,63.200001
Niger,3,3.1500001,-7,-7,-7,1,2.3710678,6.0498996,5.7883658,5.5695024,1,0.85000002,0,0.002,0,1.85392E-05,-1.76,1,1,1,1,0,0,0,100.43,13,8,1.2,1.2,0.57894737,0.60000002,1.0682303,1.013363,77.599998,75,10,26.6,16,0.47999999,19.1
Nigeria,3.8333333,2.5999999,-7,-3.5,-2.4000001,-6,2.4116197,5.4095507,5.7344542,5.477273,1,0.5,0,0.121,1,0.41259882,-0.85000002,2.45,3.8,1.9,3,0,0,2,102.08,21,5,3.4000001,3.4000001,0.78688526,0.83673471,1.0574949,1.007767,55.799999,56,22.6,21.299999,45,0.47999999,41.299999
